group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | 2,1687,212,1157,263,55,0.7940074906367042,0.1852112676056338,0.20599250936329588,0.2815649081209247
White | 3,1511,173,1086,190,62,0.7361702127659574,0.14890282131661442,0.26382978723404255,0.2402382528127068
Black | 2,1246,118,901,184,43,0.7329192546583851,0.1695852534562212,0.2670807453416149,0.24237560192616373
White | 4,949,84,735,110,20,0.8076923076923077,0.1301775147928994,0.19230769230769232,0.20442571127502634
Black | 1,769,98,504,124,43,0.6950354609929078,0.19745222929936307,0.3049645390070922,0.2886866059817945
Black | 3,724,75,534,90,25,0.75,0.14423076923076922,0.25,0.22790055248618785
White | 1,526,41,379,86,20,0.6721311475409836,0.18494623655913978,0.32786885245901637,0.2414448669201521
White | 5,518,34,416,56,12,0.7391304347826086,0.11864406779661017,0.2608695652173913,0.17374517374517376
Unknown or Legacy | 2,363,23,278,52,10,0.696969696969697,0.15757575757575756,0.30303030303030304,0.2066115702479339
Black | 4,304,30,228,37,9,0.7692307692307693,0.13962264150943396,0.23076923076923078,0.22039473684210525
Unknown or Legacy | 3,274,27,197,42,8,0.7714285714285715,0.17573221757322174,0.22857142857142856,0.2518248175182482
Black | 0,258,23,183,42,10,0.696969696969697,0.18666666666666668,0.30303030303030304,0.25193798449612403
East/Southeast Asian | 2,231,11,190,21,9,0.55,0.0995260663507109,0.45,0.13852813852813853
South Asian | 2,228,17,183,24,4,0.8095238095238095,0.11594202898550725,0.19047619047619047,0.17982456140350878
Middle-Eastern | 2,201,9,161,28,3,0.75,0.14814814814814814,0.25,0.18407960199004975
East/Southeast Asian | 3,196,8,160,25,3,0.7272727272727273,0.13513513513513514,0.2727272727272727,0.1683673469387755
Unknown or Legacy | 1,189,14,132,40,3,0.8235294117647058,0.23255813953488372,0.17647058823529413,0.2857142857142857
White | 0,161,5,134,19,3,0.625,0.12418300653594772,0.375,0.14906832298136646
South Asian | 3,158,7,130,17,4,0.6363636363636364,0.11564625850340136,0.36363636363636365,0.1518987341772152
Unknown or Legacy | 4,155,11,119,20,5,0.6875,0.14388489208633093,0.3125,0.2
White | 6,149,2,132,15,0,1.0,0.10204081632653061,0.0,0.11409395973154363
East/Southeast Asian | 1,146,11,121,10,4,0.7333333333333333,0.07633587786259542,0.26666666666666666,0.14383561643835616
Indigenous | 2,146,20,105,18,3,0.8695652173913043,0.14634146341463414,0.13043478260869565,0.2602739726027397
Middle-Eastern | 3,143,6,112,17,8,0.42857142857142855,0.13178294573643412,0.5714285714285714,0.16083916083916083
South Asian | 1,140,10,105,24,1,0.9090909090909091,0.18604651162790697,0.09090909090909091,0.24285714285714285
East/Southeast Asian | 4,138,8,115,11,4,0.6666666666666666,0.0873015873015873,0.3333333333333333,0.13768115942028986
Latino | 2,135,6,106,20,3,0.6666666666666666,0.15873015873015872,0.3333333333333333,0.1925925925925926
Black | 5,132,12,105,14,1,0.9230769230769231,0.11764705882352941,0.07692307692307693,0.19696969696969696
Middle-Eastern | 1,132,9,103,16,4,0.6923076923076923,0.13445378151260504,0.3076923076923077,0.1893939393939394
Indigenous | 3,122,12,95,12,3,0.8,0.11214953271028037,0.2,0.19672131147540983
South Asian | 4,108,3,93,12,0,1.0,0.11428571428571428,0.0,0.1388888888888889
Latino | 3,82,1,66,12,3,0.25,0.15384615384615385,0.75,0.15853658536585366
Unknown or Legacy | 5,82,2,74,5,1,0.6666666666666666,0.06329113924050633,0.3333333333333333,0.08536585365853659
Middle-Eastern | 4,73,5,58,9,1,0.8333333333333334,0.13432835820895522,0.16666666666666666,0.1917808219178082
East/Southeast Asian | 5,71,3,57,8,3,0.5,0.12307692307692308,0.5,0.15492957746478872
Indigenous | 1,56,7,39,7,3,0.7,0.15217391304347827,0.3,0.25
Latino | 1,54,0,45,5,4,0.0,0.1,1.0,0.09259259259259259
Indigenous | 4,50,6,37,7,0,1.0,0.1590909090909091,0.0,0.26
South Asian | 5,42,1,37,4,0,1.0,0.0975609756097561,0.0,0.11904761904761904
Unknown or Legacy | 0,38,1,28,7,2,0.3333333333333333,0.2,0.6666666666666666,0.21052631578947367
Middle-Eastern | 0,37,0,30,6,1,0.0,0.16666666666666666,1.0,0.16216216216216217
East/Southeast Asian | 6,36,0,33,3,0,,0.08333333333333333,,0.08333333333333333
Latino | 4,36,2,31,3,0,1.0,0.08823529411764706,0.0,0.1388888888888889
Unknown or Legacy | 6,34,0,32,1,1,0.0,0.030303030303030304,1.0,0.029411764705882353
Middle-Eastern | 5,31,1,28,2,0,1.0,0.06666666666666667,0.0,0.0967741935483871
Black | 6,31,2,26,3,0,1.0,0.10344827586206896,0.0,0.16129032258064516
South Asian | 0,24,1,17,6,0,1.0,0.2608695652173913,0.0,0.2916666666666667
East/Southeast Asian | 0,21,0,17,4,0,,0.19047619047619047,,0.19047619047619047
Latino | 5,20,1,16,2,1,0.5,0.1111111111111111,0.5,0.15
Latino | 0,15,0,12,0,3,0.0,0.0,1.0,0.0
South Asian | 6,12,0,11,0,1,0.0,0.0,1.0,0.0
Indigenous | 5,12,2,9,1,0,1.0,0.1,0.0,0.25
Latino | 6,8,0,8,0,0,,0.0,,0.0
Middle-Eastern | 6,6,0,5,1,0,,0.16666666666666666,,0.16666666666666666
Indigenous | 0,3,0,3,0,0,,0.0,,0.0
Indigenous | 6,3,0,2,1,0,,0.3333333333333333,,0.3333333333333333
