case,attribute,accuracy,f1,roc_auc,FPR_gap,FNR_gap,SelectionRate_gap,EO_gap_max
Case 5.2 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + age intersections,Age_group__at_arrest_,0.8311309157959434,0.5141467727674623,0.8812699201403811,0.0748752559776182,0.12588652482269502,0.132217448000171,0.12588652482269502
Case 5.1 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + age,Age_group__at_arrest_,0.8391210817455439,0.5168435625288417,0.8807437710392494,0.1317607679676645,0.14442700156985872,0.1878923591070067,0.14442700156985877
Case 5.3 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + three-way age intersection,Age_group__at_arrest_,0.8354333128457283,0.5186516853932583,0.8830943476042115,0.09139825691549829,0.18030829353017802,0.14914455916828775,0.18030829353017797
Case 5 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial debiasing,Age_group__at_arrest_,0.8402735095267363,0.5208573404010141,0.8812957435807907,0.14165235108069027,0.2619047619047619,0.2076822801011401,0.26190476190476186
Case 5 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial debiasing,Perceived_Race,0.8402735095267363,0.5208573404010141,0.8812957435807907,0.049344943597862664,0.17091836734693877,0.0829915202328583,0.17091836734693877
Case 5.2 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + age intersections,Perceived_Race,0.8311309157959434,0.5141467727674623,0.8812699201403811,0.07049737072743208,0.2380952380952381,0.05988275110312233,0.23809523809523803
Case 5.1 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + age,Perceived_Race,0.8391210817455439,0.5168435625288417,0.8807437710392494,0.07580843063526617,0.2542517006802721,0.10420583450550114,0.25425170068027214
Case 5.3 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + three-way age intersection,Perceived_Race,0.8354333128457283,0.5186516853932583,0.8830943476042115,0.06024396855516401,0.42261904761904767,0.09935533063390653,0.4226190476190476
Case 5.2 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + age intersections,Race_Sex_intersection,0.8311309157959434,0.5141467727674623,0.8812699201403811,0.10466816990675848,0.47619047619047616,0.13508690254500308,0.47619047619047616
Case 5 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial debiasing,Race_Sex_intersection,0.8402735095267363,0.5208573404010141,0.8812957435807907,0.12580708276266875,0.5,0.1726383484651967,0.5
Case 5.1 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + age,Race_Sex_intersection,0.8391210817455439,0.5168435625288417,0.8807437710392494,0.10950379828673025,0.6,0.15518311607697083,0.6
Case 5.3 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + three-way age intersection,Race_Sex_intersection,0.8354333128457283,0.5186516853932583,0.8830943476042115,0.0909794213213678,0.6190476190476191,0.15072160148975788,0.6190476190476191
Case 5.3 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + three-way age intersection,Sex,0.8354333128457283,0.5186516853932583,0.8830943476042115,0.003674757121281569,0.011032895433686685,0.014065206243515538,0.011032895433686685
Case 5.1 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + age,Sex,0.8391210817455439,0.5168435625288417,0.8807437710392494,0.02003878995607336,0.0025191873330680514,0.02745848546205018,0.02003878995607336
Case 5 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial debiasing,Sex,0.8402735095267363,0.5208573404010141,0.8812957435807907,0.017845337719086085,0.04600379595727688,0.03038223640576107,0.04600379595727688
Case 5.2 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial + age intersections,Sex,0.8311309157959434,0.5141467727674623,0.8812699201403811,0.03438865508956934,0.049275876777386846,0.04559344776041804,0.04927587677738687
