attribute,metric,case,avg_gap,max_gap
Sex,FPR,Case 4,0.0335626409418312,0.0335626409418312
Sex,FPR,Case 5,0.03146612520433445,0.03146612520433445
Sex,FPR,Case 5.3,0.025586628982362525,0.025586628982362525
Perceived_Race,FPR,Case 4,0.05001989867192456,0.1053891223155929
Perceived_Race,FPR,Case 5,0.026029386121506293,0.05640336134453777
Perceived_Race,FPR,Case 5.3,0.02229754243182196,0.05670735307974997
Race_Sex_intersection,FPR,Case 4,0.06686023836711467,0.18336764100452863
Race_Sex_intersection,FPR,Case 5,0.04227774108032322,0.1288630829743398
Race_Sex_intersection,FPR,Case 5.3,0.03415871476418707,0.11451582693388276
Age_group__at_arrest_,FPR,Case 4,0.05863250913047925,0.13574390930121086
Age_group__at_arrest_,FPR,Case 5,0.06519386627740205,0.14977586307849108
Age_group__at_arrest_,FPR,Case 5.3,0.033162593964382044,0.07729226154423006
